rank,gid,role,priority_score,why,cluster_id
14,100000006866783100,coordinator,0.9333,"Хаб: собирает и раздаёт: 13 плательщиков → 67 получателей, через узел 3,9 млн ₸; 1 seed в 2 шагах выше; посредничество выше 99% узлов. Оборот через узел 4,8 млн ₸; 100% суммы уходит за 2 дня",0
15,100000000437046100,coordinator,0.9315,"Хаб: собирает и раздаёт: 9 плательщиков → 42 получателей, через узел 7,6 млн ₸; 1 seed в 2 шагах выше; посредничество выше 99% узлов. Оборот через узел 8,7 млн ₸; 87% суммы уходит за 2 дня",0
16,100000004015047100,consolidator,0.928,"Сбор средств: 919 тыс ₸ от 9 плательщиков (из них seed: 3), дальше ушло 8% полученного; до 2 плательщиков в один день. Оборот через узел 988 тыс ₸; 4 seed в 2 шагах выше; 64% суммы уходит за 2 дня",6
17,100000007442518100,coordinator,0.9222,"Хаб: собирает и раздаёт: 5 плательщиков → 9 получателей, через узел 4,4 млн ₸; 1 seed в 2 шагах выше; посредничество выше 96% узлов. Оборот через узел 4,9 млн ₸; 90% суммы уходит за 2 дня",30
18,100000001857829100,coordinator,0.9219,"Хаб: собирает и раздаёт: 6 плательщиков → 16 получателей, через узел 2,4 млн ₸; 1 seed в 2 шагах выше; посредничество выше 99% узлов. Оборот через узел 3,3 млн ₸; 82% суммы уходит за 2 дня",3
19,100000005382566100,consolidator,0.9128,Сбор средств: 393 тыс ₸ от 7 плательщиков (из них seed: 6); до 2 плательщиков в один день. Оборот через узел 443 тыс ₸; 7 seed в 2 шагах выше; 100% суммы уходит за 2 дня,20
20,100000002398779100,consolidator,0.9099,"Сбор средств: 1,1 млн ₸ от 13 плательщиков (из них seed: 0), дальше ушло 6% полученного; до 7 плательщиков в один день. Оборот через узел 1,2 млн ₸; 2 seed в 2 шагах выше; 100% суммы уходит за 2 дня",0
21,100000001616816100,consolidator,0.9078,Сбор средств: 176 тыс ₸ от 5 плательщиков (из них seed: 0). Оборот через узел 358 тыс ₸; 3 seed в 2 шагах выше; 69% суммы уходит за 2 дня,6
22,100000002838861100,consolidator,0.9034,"Сбор средств: 555 тыс ₸ от 5 плательщиков (из них seed: 2), дальше ушло 2% полученного; до 2 плательщиков в один день. Оборот через узел 565 тыс ₸; 2 seed в 2 шагах выше",7
23,100000007908818100,consolidator,0.8996,"Сбор средств: 727 тыс ₸ от 4 плательщиков (из них seed: 2), дальше ушло 42% полученного; до 2 плательщиков в один день. Оборот через узел 1,0 млн ₸; 4 seed в 2 шагах выше",2
24,100000008686313100,coordinator,0.8958,"Хаб: собирает и раздаёт: 6 плательщиков → 7 получателей, через узел 334 тыс ₸; 1 seed в 2 шагах выше; посредничество выше 99% узлов. Оборот через узел 2,2 млн ₸; 100% суммы уходит за 2 дня",0
25,100000008547948100,coordinator,0.8954,"Хаб: собирает и раздаёт: 6 плательщиков → 26 получателей, через узел 5,2 млн ₸; 1 seed в 2 шагах выше; посредничество выше 98% узлов. Оборот через узел 5,4 млн ₸",7
26,100000006889963100,consolidator,0.8924,"Сбор средств: 1,4 млн ₸ от 4 плательщиков (из них seed: 2), дальше ушло 31% полученного; до 4 плательщиков в один день. Оборот через узел 1,9 млн ₸; 4 seed в 2 шагах выше; 100% суммы уходит за 2 дня",4
27,100000005782781100,coordinator,0.8909,"Хаб: собирает и раздаёт: 6 плательщиков → 10 получателей, через узел 1,3 млн ₸; 1 seed в 2 шагах выше; посредничество выше 98% узлов. Оборот через узел 1,4 млн ₸; 100% суммы уходит за 2 дня",6
28,100000002741024100,consolidator,0.8839,"Сбор средств: 818 тыс ₸ от 5 плательщиков (из них seed: 0), дальше ушло 53% полученного. Оборот через узел 1,3 млн ₸; 1 seed в 2 шагах выше",0
29,100000002224132100,consolidator,0.8803,"Сбор средств: 4,0 млн ₸ от 5 плательщиков (из них seed: 0), дальше ушло 307% полученного; до 2 плательщиков в один день. Оборот через узел 16,1 млн ₸; 1 seed в 2 шагах выше; 73% суммы уходит за 2 дня",23
30,100000000661912100,consolidator,0.8796,"Сбор средств: 393 тыс ₸ от 5 плательщиков (из них seed: 1), дальше ушло 110% полученного; до 2 плательщиков в один день. Оборот через узел 824 тыс ₸; 1 seed в 2 шагах выше; 75% суммы уходит за 2 дня",0
